"","empty","CITY","STATE","ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type","kff_url","price21","price30","price40","price50","price60"
"1",1,"WASHINGTON","DC","20001",689545,10.2,9.1,21.4,20.4,11.4,10,8.9,5.5,2.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=dc&zip=20001&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",431,462,578,849,1245
"2",3,"HUNTSVILLE","AL","35801",215006,11.1,12.2,17,13.7,10.9,12.7,11.1,7,4.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=al&zip=35801&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",463,525,591,827,1256
"3",10,"BIRMINGHAM","AL","35203",200733,10.9,10.9,18,14.1,10.6,12,13.1,6.9,3.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=al&zip=35203&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",430,488,549,768,1166
"4",29,"ANCHORAGE","AK","99501",291247,13,13,15.3,15.6,12,12.4,11,5.4,2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ak&zip=99501&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",792,899,1013,1415,2151
"5",30,"FAIRBANKS","AK","99709",32515,14.5,11.8,27.3,15,8.6,8.3,7.9,4.3,2.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ak&zip=99709&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",834,946,1065,1489,2262
"6",31,"PHOENIX","AZ","85001",1608139,13.2,14.7,15.2,14.9,12.8,12.1,9.5,5.3,2.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=az&zip=85001&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",291,330,371,519,789
"7",32,"TUCSON","AZ","85726",542629,10.8,12.7,17.4,13.8,11,11.5,11.6,7.3,3.8,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=az&zip=85726&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",286,324,365,510,775
"8",38,"LITTLE ROCK","AR","72205",202591,12.2,12.5,14.6,14.6,12.4,11.9,11.6,6.8,3.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ar&zip=72205&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",358,406,458,639,972
"9",39,"FAYETTEVILLE","AR","72701",93949,10.5,14.4,29.2,14.2,9.7,7.9,7.2,4.5,2.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ar&zip=72701&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",358,406,458,639,972
"10",40,"LOS ANGELES","CA","90001",3898747,10.2,11.7,16.7,16.7,13.3,12.4,10,5.8,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ca&zip=90001&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",321,364,410,572,870
